,video_id,view_count,like_count,comment_count,tags
39,7aBLfJks2oE,452440,8993,1236,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'バカゲー', '面白い', '手', 'シミュレーター']"
40,rIWmDmlkcb0,784694,13025,1458,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', '鬼畜', '難しい', 'バカゲー']"
41,_JO-Y_SiYCw,1191967,13353,1230,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', '海', 'サバイバル', '面白い', '生活']"
42,jt5FwpjPERs,470986,9431,1857,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'スプラトゥーン2', 'スプラトゥーン', '面白い', '任天堂', 'ニンテンドースイッチ']"
43,vC7HcFBDlmw,499370,8467,910,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', '癒し', '自然', 'ストーリー', '面白い', '映画']"
44,JV0LYSNzAEM,1062451,13111,1448,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', '海', 'サバイバル', '宇宙船']"
45,zdqPqbh2qyU,950209,11460,1238,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', '海', 'サバイバル', 'バカゲー', '面白い']"
46,9JVrA4rIUsc,342003,6994,950,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ']"
47,Yfk09zejwrQ,2927324,26774,2309,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'バカゲー', '面白い', 'スマホ', 'アプリ']"
48,bFuiAN70QVc,1104936,12446,1997,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'バカゲー', '面白い', 'ボケ', 'ツッコミ']"
49,CkoKB2Sk-EY,729744,9678,1412,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'バカゲー', 'ホラーゲーム', 'ホラー', 'スポンジボブ']"
50,3AY-bl84N_4,1272653,11908,1260,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'バカゲー', 'バトルロワイヤル', 'fortnite', '面白い']"
51,nYylgQrqhKQ,1358185,13204,1301,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'gta5', 'gtav', 'バカゲー', '面白い', '自由']"
52,tudtaooy7rE,1916382,15807,1274,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'バカゲー', '面白い', '自転車', 'スポーツ']"
53,ah0cMG_KB_Q,2699940,20471,2055,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'ホラーゲーム', 'バカゲー', '面白い']"
54,zcgp3zkDnfk,955023,28202,3235,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', '雪', 'スノボ', 'スキー']"
55,iCtx5XR0b7c,1187714,28748,5105,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'LINE', '面白い', 'ハート']"
56,ThqM787fU2g,459611,10182,1410,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'バカゲー', '面白い', '声', '喉']"
57,yXWjg_XCgqc,780105,11835,1242,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', '自然', '自由', 'ストーリー', '癒し']"
58,0JQKHHspRys,399466,6095,788,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'レゴ', 'マーベル', 'PS4']"
59,F-IJlKIBJcs,686968,9307,3396,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'ホラーゲーム', 'ホラー']"
60,8EtYcrJpOAE,601749,8985,2805,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', '恋愛ゲーム', '恋愛', 'ホラー', 'ホラーゲーム']"
61,oayX2R4YdcI,789891,14594,4208,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', '恋愛ゲーム', '恋愛', 'ホラー', 'ホラーゲーム']"
62,ayPYwnD-mno,818753,10579,3237,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', '恋愛ゲーム', '恋愛', 'ホラー', 'ホラーゲーム']"
63,bSiVEXOtpDI,2680107,16909,1183,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', '戦い', 'バカゲー', '面白い', 'バトル']"
64,MYDi7t1LxaM,968190,12900,1625,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', '海', 'サバイバル', '面白い', 'Subnautica']"
65,zm8l9z4u0-I,771590,10064,826,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'バカゲー', '面白い', 'スマホ', 'アプリ']"
66,aB5fjCOYN7A,687679,11593,1073,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'バカゲー', '面白い', '壺', 'フリーゲーム']"
